time,surface
0.0,0.3691159715514433
0.1,0.3469633789591147
0.2,0.30652615129497274
0.30000000000000004,0.24988607171047456
0.4,0.18040382762523252
0.5,0.10242143258612241
0.6000000000000001,0.020857466086841157
0.7000000000000001,-0.05925476992006268
0.8,-0.13322939184675867
0.9,-0.19713499623911235
1.0,-0.248100333872272
1.1,-0.28448743973012774
1.2000000000000002,-0.3059198668402503
1.3,-0.3131732396116509
1.4000000000000001,-0.30795278791430547
1.5,-0.2925954106068971
1.6,-0.2697405208659396
1.7000000000000002,-0.24201385127032618
1.8,-0.21176203050238818
1.9000000000000001,-0.18086452577597179
2.0,-0.150635591262153
2.1,-0.12181458396219787
2.2,-0.09463069547605465
2.3000000000000003,-0.06891959126169032
2.4000000000000004,-0.04426565856966531
2.5,-0.020144638558538725
2.6,0.003953420323537961
2.7,0.028433160303586322
2.8000000000000003,0.05353854234502324
2.9000000000000004,0.0793292042153246
3.0,0.10567953682829971
3.1,0.1322896318196865
3.2,0.15869872098829496
3.3000000000000003,0.1842957681435002
3.4000000000000004,0.20832718218281018
3.5,0.2299066256865661
3.6,0.2480351213902779
3.7,0.26164007704162956
3.8000000000000003,0.26963911900267307
3.9000000000000004,0.2710292040726527
4.0,0.26499454532662853
4.1000000000000005,0.25102009698485567
4.2,0.22899246578930604
4.3,0.1992686282445766
4.4,0.16269555010289913
4.5,0.1205706415487824
4.6000000000000005,0.07454289880889862
4.7,0.026465741461516767
4.800000000000001,-0.0217773389679257
4.9,-0.068446427493058
5.0,-0.11208855481431551
5.1000000000000005,-0.15162543488931926
5.2,-0.18636997264353472
5.300000000000001,-0.21596963656351154
5.4,-0.24028986472897085
5.5,-0.2592640697266822
5.6000000000000005,-0.2727455788517393
5.7,-0.28039877978874944
5.800000000000001,-0.2816608838832791
5.9,-0.2757926635193406
6.0,-0.2620184006857686
6.1000000000000005,-0.23973544410421035
6.2,-0.20875616456623378
6.300000000000001,-0.16953351748511858
6.4,-0.12331872278855681
6.5,-0.07220702801611736
6.6000000000000005,-0.01904446132135848
6.7,0.03280769540868538
6.800000000000001,0.07982741423806611
6.9,0.11875774147581425
7.0,0.1470389186130754
7.1000000000000005,0.16317522768693948
7.2,0.16697109496541634
7.300000000000001,0.159589347019761
7.4,0.1434123538082657
7.5,0.12171942983342726
7.6000000000000005,0.0982255178314818
7.7,0.07655103986121635
7.800000000000001,0.05970613315625928
7.9,0.04967156611431145
8.0,0.047143307721575496
8.1,0.0514805267760084
8.200000000000001,0.060862498528907696
8.3,0.07262465136447732
8.4,0.08371418485961753
8.5,0.09118674551376688
8.6,0.09266095291389984
8.700000000000001,0.08665784400926385
8.8,0.07277543731892495
8.9,0.05168007809684154
9.0,0.024929927418192558
9.1,-0.0053245435811624
9.200000000000001,-0.036698449513873084
9.3,-0.0669177530285093
9.4,-0.09408867063847856
9.5,-0.11684807564858894
9.600000000000001,-0.1343797269075442
9.700000000000001,-0.146311108431648
9.8,-0.15253134895814574
9.9,-0.15298678662251536
10.0,-0.14751395997271993
10.100000000000001,-0.13575954922827277
10.200000000000001,-0.11721529297880783
10.3,-0.09136776983178287
10.4,-0.057934196161733
10.5,-0.017132270901201882
10.600000000000001,0.030080288070243207
10.700000000000001,0.08185958888650705
10.8,0.13547079590250571
10.9,0.18744665627666954
11.0,0.2338992317242914
11.100000000000001,0.2709432786905587
11.200000000000001,0.2951652645471493
11.3,0.3040597341079899
11.4,0.296357443437763
11.5,0.27218716580342506
11.600000000000001,0.23304216803279054
11.700000000000001,0.18155749001217295
11.8,0.12113848201394525
11.9,0.05550779067225752
12.0,-0.01174819125503301
12.100000000000001,-0.07755427513854257
12.200000000000001,-0.13958094548159808
12.3,-0.1963056927611662
12.4,-0.24690393437505742
12.5,-0.2910067028750371
12.600000000000001,-0.3283888925937686
12.700000000000001,-0.3586652578711106
12.8,-0.3810688214548188
12.9,-0.39436835462582315
13.0,-0.39695172536420253
13.100000000000001,-0.38706618114861074
13.200000000000001,-0.3631722537516465
13.3,-0.3243419247616948
13.4,-0.27061931457606386
13.5,-0.20326608083105963
13.600000000000001,-0.12483331154571738
13.700000000000001,-0.039033218027113896
13.8,0.04957877003333391
13.9,0.13606513635693704
14.0,0.21563704075118503
14.100000000000001,0.28416776222129003
14.200000000000001,0.33860497361334563
14.3,0.3772168957323367
14.4,0.3996383105523435
14.5,0.4067192830445592
14.600000000000001,0.4002150416768351
14.700000000000001,0.3823829181198303
14.8,0.3555663545161875
14.9,0.3218442591740119
15.0,0.2828070987408749
15.100000000000001,0.23949271523370488
15.200000000000001,0.1924808268094595
15.3,0.14211240327624622
15.4,0.08877511516761502
15.5,0.03318367879455179
15.600000000000001,-0.023413616762699572
15.700000000000001,-0.07915440472561397
15.8,-0.1316330044887623
15.9,-0.17811592771112605
16.0,-0.21586550279740535
16.1,-0.24251260098694366
16.2,-0.2564091153222969
16.3,-0.2568944109048732
16.400000000000002,-0.24442643015071472
16.5,-0.22055392305229313
16.6,-0.18773600838143736
16.7,-0.1490429243876637
16.8,-0.10779194726864925
16.900000000000002,-0.06718127624686075
17.0,-0.029980853964904235
17.1,0.0016761078564538556
17.2,0.026380109409032577
17.3,0.043415739237967856
17.400000000000002,0.05264321427945901
17.5,0.05433419812935083
17.6,0.04900983028504253
17.7,0.03732253384629734
17.8,0.020007404542816094
17.900000000000002,-0.0020923752083580206
18.0,-0.027943622888348448
18.1,-0.056219768045229546
18.2,-0.08521996394190279
18.3,-0.11285286946184994
18.400000000000002,-0.13671487099899232
18.5,-0.15427200341544786
18.6,-0.16313051691114325
18.7,-0.1613581517089483
18.8,-0.14780177954698528
18.900000000000002,-0.12234096684883478
19.0,-0.08602297549692081
19.1,-0.0410420656786142
19.200000000000003,0.009448314862896188
19.3,0.06167255154295904
19.400000000000002,0.11167385826728446
19.5,0.15579396313696725
19.6,0.19111738833079392
19.700000000000003,0.21581048466466407
19.8,0.22930205720693073
19.900000000000002,0.2322785145139915
20.0,0.2264972332972898
20.1,0.2144516646862178
20.200000000000003,0.19894527532119038
20.3,0.18264462993386976
20.400000000000002,0.16768269884392895
20.5,0.1553720775444672
20.6,0.14606672815975183
20.700000000000003,0.13918426976430137
20.8,0.1333737644664609
20.900000000000002,0.12679122756494465
21.0,0.11743052763413508
21.1,0.10345299627463235
21.200000000000003,0.08346496012172047
21.3,0.05670663380677224
21.400000000000002,0.023135020045808894
21.5,-0.01659640346507222
21.6,-0.061241287470733256
21.700000000000003,-0.10911623828401448
21.8,-0.15827421761524138
21.900000000000002,-0.20666473275294317
22.0,-0.25225972052323264
22.1,-0.2931368101268026
22.200000000000003,-0.32752436579298566
22.3,-0.353822459190675
22.400000000000002,-0.3706186714033487
22.5,-0.3767166026394978
22.6,-0.371188763911907
22.700000000000003,-0.35345589292036467
22.8,-0.3233841557244468
22.900000000000002,-0.2813827921674421
23.0,-0.2284797201963768
23.1,-0.1663527035402298
23.200000000000003,-0.09729901144662409
23.3,-0.02413599850013688
23.400000000000002,0.04996325796449945
23.5,0.1216836304711288
23.6,0.18780636519048335
23.700000000000003,0.2454431231949016
23.8,0.29223713258501793
23.900000000000002,0.3265085399621249
24.0,0.34733037840138686
24.1,0.3545326904167919
24.200000000000003,0.34864304357205633
24.3,0.3307799385924282
24.400000000000002,0.3025200320730917
24.5,0.2657601504422062
24.6,0.2225911706567501
24.700000000000003,0.17519419731769434
24.8,0.12576177960171867
24.900000000000002,0.07643998355487532
25.0,0.029282460649315088
25.1,-0.013793889320683941
25.200000000000003,-0.051060371255932865
25.3,-0.08103949964790488
25.400000000000002,-0.10257835088856213
25.5,-0.11492552441111438
25.6,-0.11780092229606542
25.700000000000003,-0.11144595311934417
25.8,-0.09664296002195509
25.900000000000002,-0.07469634721423221
26.0,-0.0473731535644191
26.1,-0.01680648995887186
26.200000000000003,0.014629910699125049
26.3,0.04446473980873838
26.400000000000002,0.0702776707240488
26.5,0.0898426684826632
26.6,0.10125808158823049
26.700000000000003,0.10305880795552257
26.8,0.09430851548939793
26.900000000000002,0.07467120343011206
27.0,0.04446097709352048
27.1,0.0046670263403864425
27.200000000000003,-0.043051755033723625
27.3,-0.09641013982405318
27.400000000000002,-0.15258592718231176
27.5,-0.2083610277830203
27.6,-0.26031476571619483
27.700000000000003,-0.3050620759315727
27.8,-0.33952008457373656
27.900000000000002,-0.36117777521164146
28.0,-0.3683371111352012
28.1,-0.36029196842101396
28.200000000000003,-0.3374147802781242
28.3,-0.30113017029832867
28.400000000000002,-0.2537691807973082
28.5,-0.19831500442711944
28.6,-0.13806861217252808
28.700000000000003,-0.07627721259404302
28.8,-0.01577719689684872
28.900000000000002,0.0412959322256284
29.0,0.09368595743077159
29.1,0.1410536953699257
29.200000000000003,0.1838665328991891
29.3,0.22315592212293625
29.400000000000002,0.26018110579028964
29.5,0.29605394729258905
29.6,0.3313877836287276
29.700000000000003,0.3660310253488778
29.8,0.39893384165451456
29.900000000000002,0.4281755065057621
30.0,0.4511541481288679
30.1,0.4649139843664132
30.200000000000003,0.46656209588536485
30.3,0.45371128141575906
30.400000000000002,0.42488020303737045
30.5,0.3797878055984119
30.6,0.31949494995358196
30.700000000000003,0.24636969297515585
30.8,0.1638797888626855
30.900000000000002,0.07624231420400718
31.0,-0.012018434771058942
31.1,-0.096540813676077
31.200000000000003,-0.1735570241396334
31.3,-0.24022715791976823
31.400000000000002,-0.29483445793673396
31.5,-0.33682286176575593
31.6,-0.36668257821685984
31.700000000000003,-0.3857120605989423
31.8,-0.39570172246946006
31.900000000000002,-0.3985936100168969
32.0,-0.39617096252161593
32.1,-0.38982267760342804
32.2,-0.3804120693481399
32.300000000000004,-0.3682598970150719
32.4,-0.35323185904521
32.5,-0.3349038876861956
32.6,-0.31276728570559326
32.7,-0.28643160191928546
32.800000000000004,-0.2557864641121494
32.9,-0.22109343995296654
33.0,-0.18299340530724947
33.1,-0.14243122855275517
33.2,-0.10051499059846002
33.300000000000004,-0.058338881004202536
33.4,-0.016805435736576755
33.5,0.023517051573820943
33.6,0.06247221291120185
33.7,0.10030992375126739
33.800000000000004,0.13759334805003046
33.9,0.17503026079552583
34.0,0.21325407628984375
34.1,0.2525900855244978
34.2,0.29284704309480775
34.300000000000004,0.3331726246624179
34.4,0.37200350939869725
34.5,0.4071279458187537
34.6,0.43586241685802146
34.7,0.45532673344976865
34.800000000000004,0.4627860617431405
34.9,0.45601639262347654
35.0,0.43364368551085614
35.1,0.3954075049799361
35.2,0.3423076303817133
35.300000000000004,0.27660607224038625
35.4,0.20167546656266835
35.5,0.12170550648136633
35.6,0.041299063377810155
35.7,-0.03499392793164199
35.800000000000004,-0.10314638585528631
35.9,-0.1600668022529126
36.0,-0.20389968210797735
36.1,-0.23417249332137327
36.2,-0.25176805233060284
36.300000000000004,-0.25872497919354537
36.4,-0.25789281741311026
36.5,-0.2524891474321367
36.6,-0.24562040195905027
36.7,-0.2398338327593339
36.800000000000004,-0.23676412169911398
36.9,-0.23692484179613313
37.0,-0.23967414488356098
37.1,-0.2433586575328607
37.2,-0.24561334398247817
37.300000000000004,-0.24377198282057524
37.4,-0.23532643405129622
37.5,-0.21836560782077227
37.6,-0.1919281608397854
37.7,-0.1562160223638878
37.800000000000004,-0.11263691938792965
37.9,-0.06366990490967256
38.0,-0.012574511044347186
38.1,0.03701256252905681
38.2,0.0815329446706464
38.300000000000004,0.11794703610376
38.400000000000006,0.14409561609786364
38.5,0.15893203835073758
38.6,0.1625952111163823
38.7,0.1563185070472831
38.800000000000004,0.14219487192159547
38.900000000000006,0.12283971286997328
39.0,0.1010073274163023
39.1,0.07922156439524405
39.2,0.059476495722017984
39.300000000000004,0.04304914026279478
39.400000000000006,0.030446154673950714
39.5,0.021483331490307348
39.6,0.015474588392238767
39.7,0.011489545987762625
39.800000000000004,0.008628612894940886
39.900000000000006,0.006263293669274082
40.0,0.00419725980942545
40.1,0.0027191228118392187
40.2,0.002538116480989174
40.300000000000004,0.004615537200811581
40.400000000000006,0.009924102704829529
40.5,0.019181076694777116
40.6,0.032606723844219435
40.7,0.049756397732953275
40.800000000000004,0.06946281284565134
40.900000000000006,0.08990671904000598
41.0,0.10881229757530185
41.1,0.123741762049666
41.2,0.13244552993311642
41.300000000000004,0.13321301376087477
41.400000000000006,0.12516657149741778
41.5,0.10844804806702055
41.6,0.0842627090506406
41.7,0.05476690033609109
41.800000000000004,0.02281011991471659
41.900000000000006,-0.008434492419579937
42.0,-0.03589870690911714
42.1,-0.057043558832660025
42.2,-0.07021526508931655
42.300000000000004,-0.07487750345136002
42.400000000000006,-0.07168271132039263
42.5,-0.062369084225262814
42.6,-0.04949648380149263
42.7,-0.036059385194169034
42.800000000000004,-0.025034377406406048
42.900000000000006,-0.01893045952780543
43.0,-0.019410646589377856
43.1,-0.027043023562310038
43.2,-0.04121984770844017
43.300000000000004,-0.060257542035782256
43.400000000000006,-0.08166240758942252
43.5,-0.10252097813311119
43.6,-0.11995423855849431
43.7,-0.13156459179143074
43.800000000000004,-0.13580521204598123
43.900000000000006,-0.13221325840413542
44.0,-0.12146958470054718
44.1,-0.10527481979630433
44.2,-0.08606076266599942
44.300000000000004,-0.06658236381059972
44.400000000000006,-0.049454963743798735
44.5,-0.03671080455722884
44.6,-0.02944655937911075
44.7,-0.027619998363402135
44.800000000000004,-0.03003098562956189
44.900000000000006,-0.034493316982459256
45.0,-0.03817392920800053
45.1,-0.0380494296725449
45.2,-0.03141088568650202
45.300000000000004,-0.016339376239199857
45.400000000000006,0.007921706610833797
45.5,0.04075672652679248
45.6,0.0801653524357659
45.7,0.12295327841640508
45.800000000000004,0.165101500698113
45.900000000000006,0.20226299424152297
46.0,0.23031686981847774
46.1,0.24590189892711278
46.2,0.24685479370992236
46.300000000000004,0.232493133811931
46.400000000000006,0.20370597297399476
46.5,0.1628432818020456
46.6,0.11342414316737391
46.7,0.05970866320456856
46.800000000000004,0.0061962174709286515
46.900000000000006,-0.04287952724832058
47.0,-0.08399125320273203
47.1,-0.11463949531049258
47.2,-0.1335205389291971
47.300000000000004,-0.14053071704810483
47.400000000000006,-0.13662177792813082
47.5,-0.12354300266360015
47.6,-0.10351996580030799
47.7,-0.07892530243419454
47.800000000000004,-0.05199308968308844
47.900000000000006,-0.024616489770497563
48.0,0.0017495439095087054
48.1,0.02607921596470058
48.2,0.047678844377858326
48.300000000000004,0.06603559796422634
48.400000000000006,0.08065446755334564
48.5,0.09092649329710169
48.6,0.09606377422740169
48.7,0.095122633841123
48.800000000000004,0.0871180463058098
48.900000000000006,0.071213281141033
49.0,0.04695209721568175
49.1,0.014489696632626878
49.2,-0.02522489008857511
49.300000000000004,-0.07035746710933215
49.400000000000006,-0.11821823536941602
49.5,-0.1654236348850741
49.6,-0.20818050243231914
49.7,-0.242661866519322
49.800000000000004,-0.26542709791953867
49.900000000000006,-0.2738295036428735
50.0,-0.26635355708535474
50.1,-0.24283214522933252
50.2,-0.20451033824254186
50.300000000000004,-0.15394377462468745
50.400000000000006,-0.09474340230936106
50.5,-0.03120024747798649
50.6,0.03215941713117136
50.7,0.09102932261458115
50.800000000000004,0.14173011480307113
50.900000000000006,0.1815186159271734
51.0,0.20876686909489645
51.1,0.22299947561842776
51.2,0.22479948383747442
51.300000000000004,0.21561178263195155
51.400000000000006,0.1974854766255766
51.5,0.1728011285186756
51.6,0.14402462975974287
51.7,0.11351799024010016
51.800000000000004,0.08342108759352099
51.900000000000006,0.05560084587066576
52.0,0.03164910548621665
52.1,0.012900785843188666
52.2,0.00044187111834192777
52.300000000000004,-0.00491726675245668
52.400000000000006,-0.002714903537321045
52.5,0.0070477861793384255
52.6,0.023773534232202718
52.7,0.04615251062372339
52.800000000000004,0.07210445404722413
52.900000000000006,0.0988181205178297
53.0,0.12291393437019264
53.1,0.14073490019682422
53.2,0.14874552162324509
53.300000000000004,0.14399340865771756
53.400000000000006,0.12456854714881016
53.5,0.08998534444468126
53.6,0.04141550540930104
53.7,-0.018283743507846853
53.800000000000004,-0.08477337612295872
53.900000000000006,-0.15265976538520987
54.0,-0.2160994242916976
54.1,-0.2695027836856588
54.2,-0.3082369680752933
54.300000000000004,-0.3292215519040596
54.400000000000006,-0.3313228306614977
54.5,-0.3154801633530171
54.6,-0.28453838391312913
54.7,-0.24280669586503367
54.800000000000004,-0.19540908459925072
54.900000000000006,-0.14752635181290782
55.0,-0.10364905675432659
55.1,-0.06696019611702557
55.2,-0.038945972727465715
55.300000000000004,-0.019295607315021356
55.400000000000006,-0.0061029949430375955
55.5,0.003667732754005848
55.6,0.01353524343597332
55.7,0.02678572841977493
55.800000000000004,0.04581357898308873
55.900000000000006,0.07163197394258111
56.0,0.10363727147900989
56.1,0.13966649235544212
56.2,0.17633585911429073
56.300000000000004,0.20959935319887302
56.400000000000006,0.23542820467150133
56.5,0.2504918207893423
56.6,0.2527214191909646
56.7,0.24165930048220546
56.800000000000004,0.21853528169744837
56.900000000000006,0.18606032257164398
57.0,0.14797708993389783
57.1,0.10844925791953461
57.2,0.07139832769788429
57.300000000000004,0.03990404861842912
57.400000000000006,0.015771103601145822
57.5,-0.0006667063518107368
57.6,-0.010477071113168578
57.7,-0.01581449744012139
57.800000000000004,-0.019423407725993148
57.900000000000006,-0.024053060830686375
58.0,-0.03189189119262199
58.1,-0.04412290431877881
58.2,-0.060677803482604806
58.300000000000004,-0.08023026327981295
58.400000000000006,-0.10042520155832749
58.5,-0.11829898128595465
58.6,-0.13081263919113695
58.7,-0.13540208639075663
58.800000000000004,-0.13044855150782525
58.900000000000006,-0.11558890900028652
59.0,-0.09181548399221211
59.1,-0.06135267216291368
59.2,-0.027336304619670862
59.300000000000004,0.006645704481579811
59.400000000000006,0.03707173643111038
59.5,0.06097766629433035
59.6,0.07634322384164155
59.7,0.08231719834070714
59.800000000000004,0.07925487144267236
59.900000000000006,0.06857347264999017
60.0,0.05246077580286965
60.1,0.033493321826919394
60.2,0.014231040114079212
60.300000000000004,-0.0031466762137085233
60.400000000000006,-0.01711082288549255
60.5,-0.026926012630760963
60.6,-0.03265803694739679
60.7,-0.0350592607282581
60.800000000000004,-0.03536311873502076
