time,n,e,d,u,v,w,p,q,r,max_penetration
0.0,1.0377435661855292,0.0,1.0023369484539235,0.9872774363891212,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.02,1.0397435661855292,0.0,1.0025369484539235,0.9912774363891212,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.04,1.0417435661855292,0.0,1.0027369484539235,0.9952774363891213,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.06,1.0437435661855292,0.0,1.0029369484539234,0.9992774363891213,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.08,1.0457435661855292,0.0,1.0031369484539234,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.1,1.0477435661855292,0.0,1.0033369484539234,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.12,1.0497435661855292,0.0,1.0035369484539234,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.14,1.0517435661855292,0.0,1.0037369484539234,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.16,1.0537435661855292,0.0,1.0039369484539233,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.18,1.0557435661855292,0.0,1.0041369484539233,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.2,1.0577435661855292,0.0,1.0043369484539233,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.22,1.0597435661855292,0.0,1.0045369484539233,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.24,1.0617435661855292,0.0,1.0047369484539233,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.26,1.0637435661855292,0.0,1.0049369484539232,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
0.28,1.0657435661855292,0.0,1.0051369484539232,1.0,-0.0032272481398989885,0.1894560090790156,0.05226035027894393,-0.040807229698687185,-0.010504644487359435,0.2999999999999998
