speed,angle,actual_X,actual_Y,actual_Z,actual_K,actual_M,actual_N,expected_X,expected_Y,expected_Z,expected_K,expected_M,expected_N,error
2,0.0,2.9400000000000004,0.0,0.0,0.0,0.0,0.0,2.9400000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7853981633974483,1.4700000000000002,3.6750000000000003,0.0,0.29400000000000004,0.0,0.5880000000000001,1.4700000000000002,3.6750000000000003,0.0,0.29400000000000004,0.0,0.5880000000000001,0.0
2,1.5707963267948966,0.0,7.3500000000000005,0.0,0.5880000000000001,0.0,1.1760000000000002,0.0,7.3500000000000005,0.0,0.5880000000000001,0.0,1.1760000000000002,0.0
2,2.356194490192345,-1.4700000000000002,3.6750000000000003,0.0,0.29400000000000004,0.0,0.5880000000000001,-1.4700000000000002,3.6750000000000003,0.0,0.29400000000000004,0.0,0.5880000000000001,0.0
2,3.141592653589793,-2.9400000000000004,0.0,0.0,0.0,0.0,0.0,-2.9400000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2,3.9269908169872414,-1.470000000000001,-3.674999999999998,0.0,-0.2939999999999999,0.0,-0.5879999999999997,-1.4700000000000002,-3.6750000000000003,0.0,-0.29400000000000004,0.0,-0.5880000000000001,2.220446049250313e-15
2,4.71238898038469,-4.0800696154974506e-16,-7.35,0.0,-0.5880000000000001,0.0,-1.1760000000000002,0.0,-7.3500000000000005,0.0,-0.5880000000000001,0.0,-1.1760000000000002,8.881784197001252e-16
2,5.497787143782138,1.4699999999999993,-3.675000000000002,0.0,-0.2940000000000002,0.0,-0.5880000000000004,1.4699999999999986,-3.6750000000000043,0.0,-0.29400000000000037,0.0,-0.5880000000000007,2.220446049250313e-15
5,0.0,18.375000000000004,0.0,0.0,0.0,0.0,0.0,18.375000000000004,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7853981633974483,9.187500000000002,22.968750000000004,0.0,1.8375000000000004,0.0,3.6750000000000007,9.187500000000002,22.968750000000004,0.0,1.8375000000000004,0.0,3.6750000000000007,0.0
5,1.5707963267948966,0.0,45.93750000000001,0.0,3.6750000000000007,0.0,7.350000000000001,0.0,45.93750000000001,0.0,3.6750000000000007,0.0,7.350000000000001,0.0
5,2.356194490192345,-9.187500000000002,22.968750000000004,0.0,1.8375000000000004,0.0,3.6750000000000007,-9.187500000000002,22.968750000000004,0.0,1.8375000000000004,0.0,3.6750000000000007,0.0
5,3.141592653589793,-18.375000000000004,0.0,0.0,0.0,0.0,0.0,-18.375000000000004,0.0,0.0,0.0,0.0,0.0,0.0
5,3.9269908169872414,-9.18750000000001,-22.968749999999996,0.0,-1.8375000000000001,0.0,-3.6750000000000003,-9.187500000000002,-22.968750000000004,0.0,-1.8375000000000004,0.0,-3.6750000000000007,8.881784197001252e-15
5,4.71238898038469,-2.550043509685907e-15,-45.9375,0.0,-3.6750000000000003,0.0,-7.3500000000000005,0.0,-45.93750000000001,0.0,-3.6750000000000007,0.0,-7.350000000000001,7.105427357601002e-15
5,5.497787143782138,9.187500000000002,-22.968750000000004,0.0,-1.8375000000000004,0.0,-3.6750000000000007,9.187499999999991,-22.96875000000003,0.0,-1.8375000000000026,0.0,-3.675000000000005,2.4868995751603507e-14
10,0.0,73.50000000000001,0.0,0.0,0.0,0.0,0.0,73.50000000000001,0.0,0.0,0.0,0.0,0.0,0.0
10,0.7853981633974483,36.75000000000001,91.87500000000001,0.0,7.350000000000001,0.0,14.700000000000003,36.75000000000001,91.87500000000001,0.0,7.350000000000001,0.0,14.700000000000003,0.0
10,1.5707963267948966,0.0,183.75000000000003,0.0,14.700000000000003,0.0,29.400000000000006,0.0,183.75000000000003,0.0,14.700000000000003,0.0,29.400000000000006,0.0
10,2.356194490192345,-36.75000000000001,91.87500000000001,0.0,7.350000000000001,0.0,14.700000000000003,-36.75000000000001,91.87500000000001,0.0,7.350000000000001,0.0,14.700000000000003,0.0
10,3.141592653589793,-73.50000000000001,0.0,0.0,0.0,0.0,0.0,-73.50000000000001,0.0,0.0,0.0,0.0,0.0,0.0
10,3.9269908169872414,-36.75000000000004,-91.87499999999999,0.0,-7.3500000000000005,0.0,-14.700000000000001,-36.75000000000001,-91.87500000000001,0.0,-7.350000000000001,0.0,-14.700000000000003,3.552713678800501e-14
10,4.71238898038469,-1.0200174038743627e-14,-183.75,0.0,-14.700000000000001,0.0,-29.400000000000002,0.0,-183.75000000000003,0.0,-14.700000000000003,0.0,-29.400000000000006,2.842170943040401e-14
