time,surface,analytic
0.0,-0.19601331556824833,-0.19601331556824833
0.025,-0.19782419601228235,-0.19782419601228235
0.05,-0.19909285408563798,-0.19909285408563798
0.07500000000000001,-0.19981581248471947,-0.19981581248471947
0.1,-0.19999108963080722,-0.19999108963080722
0.125,-0.19961820510142708,-0.19961820510142708
0.15000000000000002,-0.19869818094715525,-0.19869818094715525
0.17500000000000002,-0.1972335388902485,-0.1972335388902485
0.2,-0.19522829341277875,-0.19522829341277875
0.225,-0.19268794075321688,-0.19268794075321688
0.25,-0.189619443841625,-0.189619443841625
0.275,-0.18603121321474914,-0.18603121321474914
0.30000000000000004,-0.18193308396332275,-0.18193308396332275
0.325,-0.17733628877476648,-0.17733628877476648
0.35000000000000003,-0.1722534271451729,-0.1722534271451729
0.375,-0.1666984308449633,-0.1666984308449633
0.4,-0.16068652573287356,-0.16068652573287356
0.42500000000000004,-0.1542341900229334,-0.1542341900229334
0.45,-0.14735910911882752,-0.14735910911882752
0.47500000000000003,-0.14008012713943305,-0.14008012713943305
0.5,-0.1324171952683996,-0.1324171952683996
0.525,-0.12439131706934187,-0.12439131706934187
0.55,-0.1160244909165315,-0.1160244909165315
0.5750000000000001,-0.10733964969888239,-0.10733964969888239
0.6000000000000001,-0.09836059796249627,-0.09836059796249627
0.625,-0.08911194666405628,-0.08911194666405628
0.65,-0.07961904571390555,-0.07961904571390555
0.675,-0.069907914493705,-0.069907914493705
0.7000000000000001,-0.06000517053911675,-0.06000517053911675
0.7250000000000001,-0.049937956582989065,-0.049937956582989065
0.75,-0.039733866159012254,-0.039733866159012254
0.775,-0.02942086796976075,-0.02942086796976075
0.8,-0.019027229226423557,-0.019027229226423557
0.8250000000000001,-0.008581438170343222,-0.008581438170343222
0.8500000000000001,0.0018878740112735699,0.0018878740112735699
0.875,0.01235201166144993,0.01235201166144993
0.9,0.022782293306240105,0.022782293306240105
0.925,0.03315013026865562,0.03315013026865562
0.9500000000000001,0.0434271050282421,0.0434271050282421
