phase,u,v,w,p,q,r
0,1.0,0.3,0.0,0.0,0.0,0.0
1,-0.1354514872612832,0.223657327998855,-0.1313246551455996,0.09234293545508478,-0.11685346013085735,-0.22763181504045196
