time,n,e,d,u,v,w,p,q,r,max_penetration
0.0,1.043649535928416,0.017353973303506656,0.953120533929867,0.9895739705314275,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.02,1.045649535928416,0.017353973303506656,0.9533205339298669,0.9935739705314275,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.04,1.047649535928416,0.017353973303506656,0.9535205339298669,0.9975739705314275,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.06,1.049649535928416,0.017353973303506656,0.9537205339298669,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.08,1.051649535928416,0.017353973303506656,0.9539205339298669,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.1,1.053649535928416,0.017353973303506656,0.9541205339298668,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.12,1.055649535928416,0.017353973303506656,0.9543205339298668,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.14,1.057649535928416,0.017353973303506656,0.9545205339298668,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.16,1.059649535928416,0.017353973303506656,0.9547205339298668,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.18,1.061649535928416,0.017353973303506656,0.9549205339298668,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.2,1.063649535928416,0.017353973303506656,0.9551205339298667,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.22,1.065649535928416,0.017353973303506656,0.9553205339298667,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.24,1.067649535928416,0.017353973303506656,0.9555205339298667,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.26,1.069649535928416,0.017353973303506656,0.9557205339298667,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.28,1.071649535928416,0.017353973303506656,0.9559205339298666,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.3,1.073649535928416,0.017353973303506656,0.9561205339298666,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.32,1.075649535928416,0.017353973303506656,0.9563205339298666,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
0.34,1.077649535928416,0.017353973303506656,0.9565205339298666,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
